start station name,start station latitude,start station longitude,Trip Start Count
Central Park West & W 76 St,40.77896784,-73.97374737,1277
Pershing Square North,40.751872999999996,-73.97770600000001,8874
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,1610
1 Ave & E 16 St,40.73221853,-73.98165557,4236
Great Jones St,40.72743423,-73.99379025,3752
Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,589
3 Ave & E 95 St,40.784596798848916,-73.94968539476396,604
Broadway & E 14 St,40.73454567,-73.99074142,5300
Columbia St & W 9 St,40.6769993,-74.00647134,142
E 7 St & Avenue A,40.72621788,-73.98379855,3680
W 31 St & 7 Ave,40.749156,-73.9916,4634
St Marks Pl & 1 Ave,40.72779126,-73.98564945,2915
Bayard St & Leonard St,40.71915571696044,-73.94885390996933,589
Richardson St & N Henry St,40.71907891179564,-73.94223690032959,643
E 25 St & 2 Ave,40.73912601,-73.97973776,3462
Graham Ave & Herbert St,40.71929301,-73.94500379,329
E 59 St & Madison Ave,40.76350532,-73.97109243,1466
Central Park West & W 72 St,40.77579376683666,-73.97620573639871,2177
E 2 St & 2 Ave,40.72502876,-73.99069656,2419
W 67 St & Broadway,40.77492513,-73.98266566,2113
E 67 St & Park Ave,40.76780080148132,-73.96592080593109,555
W 21 St & 6 Ave,40.74173969,-73.99415556,6542
W 44 St & 5 Ave,40.75500254,-73.98014437,2240
Columbus Ave & W 103 St,40.7969347,-73.9643412291,303
Clinton St & Union St,40.683116399999996,-73.99785267,811
Central Park West & W 68 St,40.7734066,-73.97782542,1929
E 9 St & Avenue C,40.72521311,-73.97768752,2412
W 84 St & Columbus Ave,40.78499979,-73.97283406,1447
E 2 St & Avenue A,40.72307749068673,-73.98583620786667,2693
6 Ave & 9 St,40.668127,-73.98377641,956
Prospect Pl & Underhill Ave,40.6769694,-73.96579,614
Water - Whitehall Plaza,40.70255065,-74.0127234,1014
5 Ave & E 103 St,40.792255299999994,-73.95249933,975
Canal St & Rutgers St,40.71427487,-73.98990025,3161
E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,2992
W 18 St & 6 Ave,40.73971301,-73.99456405,3846
Watts St & Greenwich St,40.72405549,-74.00965965,1810
W 13 St & 7 Ave,40.73781509,-73.99994661,2770
