start station id,2018 Start Station Count,start station name,2019 Start Station Count
72,1324,W 52 St & 11 Ave,1697
79,1106,Franklin St & W Broadway,1271
82,436,St James Pl & Pearl St,627
83,685,Atlantic Ave & Fort Greene Pl,390
119,239,Park Ave & St Edwards St,232
120,393,Lexington Ave & Classon Ave,575
127,2376,Barrow St & Hudson St,3067
128,2208,MacDougal St & Prince St,2824
143,1041,Clinton St & Joralemon St,1436
144,205,Nassau St & Navy St,454
146,980,Hudson St & Reade St,1701
150,1139,E 2 St & Avenue C,1489
151,2793,Cleveland Pl & Spring St,3735
157,776,Henry St & Atlantic Ave,1178
161,2228,LaGuardia Pl & W 3 St,2246
164,1257,E 47 St & 2 Ave,1905
167,1811,E 39 St & 3 Ave,2849
168,3287,W 18 St & 6 Ave,3846
173,2744,Broadway & W 49 St,3733
174,1994,E 25 St & 1 Ave,2400
195,1517,Liberty St & Broadway,2559
212,1893,W 16 St & The High Line,2280
216,228,Columbia Heights & Cranberry St,341
217,679,Old Fulton St,832
223,1183,W 13 St & 7 Ave,2770
228,1043,E 48 St & 3 Ave,1642
229,3306,Great Jones St,3752
236,2165,St Marks Pl & 2 Ave,2670
237,2277,E 11 St & 2 Ave,3735
238,1148,Bank St & Washington St,1519
239,1426,Willoughby St & Fleet St,1848
241,557,DeKalb Ave & S Portland Ave,798
242,615,Carlton Ave & Flushing Ave,490
243,577,Fulton St & Rockwell Pl,637
244,807,Willoughby Ave & Hall St,1037
245,323,Myrtle Ave & St Edwards St,484
247,817,Perry St & Bleecker St,1335
248,615,Laight St & Hudson St,624
249,959,Harrison St & Hudson St,926
251,1751,Mott St & Prince St,2289
252,1338,MacDougal St & Washington Sq,1694
254,1456,W 11 St & 6 Ave,2263
257,1549,Lispenard St & Broadway,1994
258,864,DeKalb Ave & Vanderbilt Ave,1041
259,914,South St & Whitehall St,1012
260,638,Broad St & Bridge St,872
261,525,Johnson St & Gold St,774
262,558,Washington Park,800
264,964,Maiden Ln & Pearl St,1180
265,1804,Stanton St & Chrystie St,2133
266,785,Avenue D & E 8 St,1177
267,1804,Broadway & W 36 St,2335
268,1630,Howard St & Centre St,2053
270,983,Adelphi St & Myrtle Ave,1263
274,755,Lafayette Ave & Fort Greene Pl,940
275,449,Washington Ave & Greene Ave,656
276,838,Duane St & Greenwich St,1053
278,248,Concord St & Bridge St,399
